"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Product Catalog","1","0","The one where Sally searches for an Adjustable Wrench","0"
"0","","0","Product Catalog","1","0","The one where Sally only wants to see Hand Saws","0"
"0","","0","Product Catalog","4","0","Sally sorts by different criteria","0"
"0","","0","Product Catalog","1","0","The one where Sally searches for a product that doesn't exist","0"
"0","","0","Product Catalog","1","0","The one where Sally searches for a more general term","0"
